snapshot_id,snapshot_file,input_rows,probability_games,exact_score_games,mpg_games,total_expected_points,avg_expected_points,min_expected_points,max_expected_points,strategies_changed_by_exact_bonus,completed_games,completed_expected_points,realized_points,realized_minus_expected_points
20260521T212649Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260521T212649Z.csv,2643,72,72,24,843.9074056763552,35.16280856984813,19.88982207402928,40.616670197878996,3,19,665.208433981649,519.0,-146.20843398164902
20260522T225045Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260522T225045Z.csv,4280,72,72,24,849.3837178050411,35.39098824187671,19.52169087416065,40.56033420609057,3,19,669.1274468567691,519.0,-150.1274468567691
20260523T203530Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260523T203530Z.csv,4289,72,72,24,848.8692787854671,35.3695532827278,19.62010821642088,40.53361383855856,3,19,669.0359168472653,519.0,-150.0359168472653
20260526T094844Z,data/odds_snapshots/2026/05/world_cup_first_round_odds_20260526T094844Z.csv,4680,72,72,24,846.6687946284871,35.27786644285363,19.664351150586487,40.51816622741207,3,19,669.360160243204,519.0,-150.36016024320395
20260602T205014Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260602T205014Z.csv,5903,72,72,24,855.3622499011659,35.64009374588191,19.666836942300865,40.798080925058386,2,19,676.3593902261961,519.0,-157.35939022619607
20260603T115319Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260603T115319Z.csv,5906,72,72,24,855.7834561937486,35.65764400807286,19.663413148770367,40.843483316117,2,19,676.4760031509275,519.0,-157.47600315092745
20260605T235512Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260605T235512Z.csv,6048,72,72,24,853.5636988657812,35.56515411940755,19.66556063190984,41.466857819169455,3,19,674.7029242901067,549.0,-125.7029242901067
20260610T095721Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260610T095721Z.csv,6686,72,72,24,855.8098750659996,35.65874479441665,19.6913768148598,42.412381034207556,4,19,677.8575156383392,519.0,-158.85751563833924
20260611T141320Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260611T141320Z.csv,6627,72,72,24,854.1865376460795,35.591105735253315,19.60520497158153,42.684546659464644,2,19,676.6907051377946,549.0,-127.69070513779457
20260612T223751Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260612T223751Z.csv,6436,69,69,21,739.5037686493245,35.214465173777356,19.686069950305466,42.602265514024346,3,16,562.6044758888862,374.0,-188.6044758888862
20260614T214339Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260614T214339Z.csv,5837,63,63,15,561.6477671883406,37.44318447922271,21.54322649328498,67.00036495007323,1,10,384.8634880321999,191.0,-193.86348803219988
20260614T221417Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260614T221417Z.csv,5837,62,62,14,495.1922754972288,35.37087682123063,21.709151105368385,40.6360434689403,2,9,318.4234331542649,191.0,-127.4234331542649
20260616T094254Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260616T094254Z.csv,5618,56,56,8,274.14571609485967,34.26821451185746,28.565891046541687,37.04829031333057,5,3,99.65422998301499,119.0,19.345770016985014
20260617T035807Z,data/odds_snapshots/2026/06/world_cup_first_round_odds_20260617T035807Z.csv,5093,53,53,5,174.68694932426706,34.937389864853415,32.08625177858069,36.85539039917505,2,0,0,0,0
