feature,actual_2022_group,model_2026,model_2022_h2h_only
expected_home_goals,1.3333333333333333,1.5059125914984768,1.2929012910450202
expected_away_goals,1.1666666666666667,1.2355601538564986,1.0850928801757225
expected_total_goals,2.5,2.741472745354976,2.3779941712207333
home_win,0.3958333333333333,0.442217393466367,0.4241105078190525
draw,0.20833333333333334,0.2171859819373321,0.24147710259525337
away_win,0.3958333333333333,0.340596624596301,0.33441238958569247
over_2_5,0.3958333333333333,0.5114408219046321,0.4206079691295303
under_1_5,0.3125,0.248428606352733,0.3223500259968879
btts,0.4166666666666667,0.46667204002714324,0.3977268754005057
clean_sheet,0.5833333333333334,0.5333279599728559,0.6022731245994923
margin_2_plus,0.375,0.42700611365429075,0.38448661802226014
margin_3_plus,0.10416666666666667,0.204667351183133,0.16976366557099795
bucket_0-0,0.125,0.06829971611282004,0.09884503006022145
bucket_1-1,0.0625,0.1025142720370243,0.10793171806906558
bucket_other,0.041666666666666664,0.056614747291378026,0.037577888667105395
