segment,match,pick,score,expected_points,pick_probability,exact_score_probability,base_points,bonus_points
bookmaker_injected_day2_remaining,Colombia vs DR Congo,Colombia,1-0,55.745339923118316,0.6345581569594191,0.13447645028485147,77.0,50.0
bookmaker_injected_day2_remaining,England vs Ghana,England,1-0,42.13689192079673,0.7877642325587754,0.10815959689812789,44.0,70.0
bookmaker_injected_day2_remaining,Panama vs Croatia,Draw,1-1,30.516181046437925,0.23279284032389333,0.09413308432995228,123.0,20.0
bookmaker_injected_day2_remaining,Portugal vs Uzbekistan,Portugal,1-0,26.046396104094857,0.8096297360807482,0.09640074778165525,24.0,70.0
compute_optimal_match_day_3,Bosnia vs Qatar,Bosnia,2-0,64.17128038481596,0.6633711547996768,0.12915979834488142,87.0,50.0
compute_optimal_match_day_3,Switzerland vs Canada,Canada,0-1,42.688519685490206,0.29804421727740854,0.08481631313409008,129.0,50.0
compute_optimal_match_day_3,Morocco vs Haiti,Morocco,2-0,31.608430262949128,0.8068651100249533,0.16418684144450965,29.0,50.0
compute_optimal_match_day_3,Scotland vs Brazil,Brazil,0-1,38.583958250371424,0.6911347175912036,0.10818983611987301,48.0,50.0
compute_optimal_match_day_3,Czechia vs Mexico,Mexico,0-1,50.01544176785596,0.49402499713630305,0.10118334056904768,91.0,50.0
compute_optimal_match_day_3,South Africa vs South Korea,South Korea,0-1,56.52720484126771,0.5848019369894527,0.11298872646370649,87.0,50.0
compute_optimal_match_day_3,Curacao vs Ivory Coast,Ivory Coast,0-2,53.4496510238814,0.8320673811953455,0.18700159641056166,53.0,50.0
compute_optimal_match_day_3,Ecuador vs Germany,Ecuador,2-0,40.67438275266895,0.26548871767262766,0.043570373802758675,145.0,50.0
compute_optimal_match_day_3,Japan vs Sweden,Japan,1-0,52.942906832359185,0.4932030688538902,0.11190824444771458,96.0,50.0
compute_optimal_match_day_3,Tunisia vs Netherlands,Netherlands,0-2,56.81410418216656,0.8485632103738835,0.18589128802458157,56.0,50.0
compute_optimal_match_day_3,Paraguay vs Australia,Draw,0-0,47.67038222187505,0.42196846211241823,0.18928310810917764,104.0,20.0
compute_optimal_match_day_3,Turkey vs United States,United States,0-2,51.50771061218118,0.49524623325807865,0.10899621838359726,93.0,50.0
compute_optimal_match_day_3,Norway vs France,France,0-2,42.52984883312456,0.5338229559433121,0.1245977565795868,68.0,50.0
compute_optimal_match_day_3,Senegal vs Iraq,Senegal,1-0,46.60872546859918,0.7292173566162207,0.14461976422646527,54.0,50.0
compute_optimal_match_day_3,Cape Verde vs Saudi Arabia,Cape Verde,2-0,43.83216609416722,0.40304661043455187,0.07861103322293177,99.0,50.0
compute_optimal_match_day_3,Uruguay vs Spain,Spain,0-1,41.72846825242503,0.6378107623956579,0.10746509591745051,57.0,50.0
compute_optimal_match_day_3,Egypt vs Iran,Draw,1-1,43.204040347800934,0.3488814442987949,0.11438518992461039,114.0,30.0
compute_optimal_match_day_3,New Zealand vs Belgium,Belgium,0-2,30.756554203153176,0.7855395678306624,0.1873096010857327,32.0,30.0
compute_optimal_match_day_3,Croatia vs Ghana,Croatia,1-0,40.57006143146567,0.5889400418115744,0.14000958096411853,57.0,50.0
compute_optimal_match_day_3,Panama vs England,England,0-2,30.009243362533176,0.7697678881033323,0.17922236477421807,32.0,30.0
compute_optimal_match_day_3,Colombia vs Portugal,Colombia,1-0,43.04283349887136,0.2633339485211672,0.08298018088705382,154.0,30.0
compute_optimal_match_day_3,DR Congo vs Uzbekistan,Uzbekistan,0-1,47.786303223050794,0.27973374789775307,0.07176742110411624,158.0,50.0
compute_optimal_match_day_3,Algeria vs Austria,Austria,0-1,45.32527621014274,0.37800138642142167,0.09758255726101234,107.0,50.0
compute_optimal_match_day_3,Jordan vs Argentina,Argentina,0-2,31.119086053803564,0.7949021949550753,0.18940719384137178,32.0,30.0
