match,actual_score,actual_outcome,options,expected_points_vs_actual
Mexico vs South Africa,2-0,home,16,43.83064516129032
South Korea vs Czech Republic,2-1,home,15,22.36
Canada vs Bosnia & Herzegovina,1-1,draw,16,43.550000000000004
USA vs Paraguay,4-1,home,17,48.1320754716981
Qatar vs Switzerland,1-1,draw,19,7.35
Brazil vs Morocco,1-1,draw,21,32.467289719626166
Haiti vs Scotland,0-1,away,17,38.14285714285713
Australia vs Turkey,2-0,home,15,5.34
Germany vs Curaçao,7-1,home,14,15.950000000000001
Netherlands vs Japan,2-2,draw,21,43.8
Ivory Coast vs Ecuador,1-0,home,16,24.68
Sweden vs Tunisia,5-1,home,15,54.720000000000006
Spain vs Cape Verde,0-0,draw,14,7.24
Belgium vs Egypt,1-1,draw,16,30.849056603773587
Saudi Arabia vs Uruguay,1-1,draw,17,55.0
Iran vs New Zealand,2-2,draw,17,61.019999999999996
France vs Senegal,3-1,home,19,40.32380952380951
Iraq vs Norway,1-4,away,26,25.284159431681136
Argentina vs Algeria,3-0,home,25,31.58163265306122
Austria vs Jordan,3-1,home,24,31.510204081632654
Portugal vs DR Congo,1-1,draw,18,13.200000000000001
England vs Croatia,4-2,home,17,31.270000000000003
Ghana vs Panama,1-0,home,17,34.589999999999996
Uzbekistan vs Colombia,1-3,away,20,26.440000000000005
Czech Republic vs South Africa,1-1,draw,19,22.680000000000003
Switzerland vs Bosnia & Herzegovina,4-1,home,19,39.46
Canada vs Qatar,6-0,home,17,58.42000000000001
Mexico vs South Korea,1-0,home,19,36.49999999999999
USA vs Australia,2-0,home,25,48.660000000000004
Scotland vs Morocco,0-1,away,25,77.70999999999995
Brazil vs Haiti,3-0,home,19,18.69
Turkey vs Paraguay,0-1,away,24,13.2
Netherlands vs Sweden,5-1,home,25,35.470588235294116
Germany vs Ivory Coast,2-1,home,22,36.100000000000016
Ecuador vs Curaçao,0-0,draw,22,10.717171717171718
Tunisia vs Japan,0-4,away,24,73.28999999999999
Spain vs Saudi Arabia,4-0,home,21,30.229999999999993
Belgium vs Iran,0-0,draw,22,10.262626262626263
Uruguay vs Cape Verde,2-2,draw,21,17.94
New Zealand vs Egypt,1-3,away,22,43.03000000000003
Argentina vs Austria,2-0,home,24,56.659090909090935
France vs Iraq,3-0,home,15,24.979999999999993
Norway vs Senegal,3-2,home,26,45.60000000000001
Jordan vs Algeria,1-2,away,29,46.710000000000015
