games_played,population_mean_points,population_p10_points,population_median_points,population_p90_points,optimal_mean_points,optimal_p10_points,optimal_median_points,optimal_p90_points,optimal_mean_edge,optimal_ahead_probability,tie_probability
1,45.025505,0.0,0.0,102.0,66.595515,0.0,87.0,137.0,21.57001,0.35035,0.544105
2,78.45962,0.0,87.0,185.0,107.28957,0.0,87.0,216.0,28.82995,0.45562,0.2364
3,106.579385,29.0,116.0,214.0,138.768065,29.0,116.0,245.0,32.18868,0.49548,0.186125
4,143.54089,29.0,145.0,253.0,179.493695,77.0,164.0,295.0,35.952805,0.537115,0.1356
5,183.15989,77.0,174.0,305.0,229.251485,107.0,218.0,373.0,46.091595,0.58554,0.084605
6,226.26717,79.0,222.0,369.0,285.2508,137.0,285.0,434.0,58.98363,0.62842,0.051935
7,270.89389,130.0,267.0,416.0,334.796425,185.0,334.0,487.0,63.902535,0.64512,0.04018
8,296.71789,150.0,293.0,448.0,372.964275,214.0,361.0,551.0,76.246385,0.65791,0.01236
9,334.556435,172.0,329.0,502.0,427.029425,247.0,419.0,622.0,92.47299,0.68325,0.00636
10,381.34903,218.0,376.0,553.0,483.722645,296.0,477.0,681.0,102.373615,0.699825,0.00514
11,417.29821,237.0,412.0,602.0,532.920205,327.0,528.0,743.0,115.621995,0.712945,0.00307
12,454.71168,266.0,450.0,652.0,584.30592,368.0,580.0,806.0,129.59424,0.72526,0.00218
13,493.955085,297.0,489.0,697.0,629.589,409.0,625.0,857.0,135.633915,0.73178,0.001915
14,538.20257,337.0,533.0,745.0,679.22912,455.0,675.0,910.0,141.02655,0.738245,0.00188
15,574.32408,362.0,569.0,794.0,722.06814,487.0,718.0,964.0,147.74406,0.733225,0.001655
16,611.83072,394.0,607.0,836.0,763.27328,525.0,759.0,1009.0,151.44256,0.73614,0.00156
17,649.444475,423.0,644.0,882.0,808.4069,558.0,803.0,1067.0,158.962425,0.7351,0.0014
18,678.354245,450.0,674.0,914.0,839.58924,588.0,835.0,1099.0,161.234995,0.736915,0.0014
19,712.642675,479.0,707.0,954.0,876.07384,614.0,871.0,1146.0,163.431165,0.73079,0.00121
20,742.88033,507.0,737.0,986.0,910.21137,646.0,905.0,1183.0,167.33104,0.73423,0.001175
21,773.295915,532.0,768.0,1022.0,949.6972,671.0,944.0,1236.0,176.401285,0.733425,0.001075
22,807.775125,560.0,803.0,1063.0,989.04794,697.0,982.0,1291.0,181.272815,0.72671,0.001215
23,845.36222,589.0,840.0,1109.0,1036.223545,735.0,1029.0,1346.0,190.861325,0.73161,0.001065
24,875.007715,617.0,870.0,1141.0,1067.492305,765.0,1061.0,1378.0,192.48459,0.7326,0.001055
